Fecha,Equipo(MAC),Counter,V1,V2,Bateria
01/03/2000 00:39:26,N/A,248,778,776,178
01/01/2024 01:01:06,N/A,0,775,775,178
01/03/2000 00:00:20,N/A,1,777,775,178
01/03/2000 00:00:41,N/A,2,776,776,178
01/03/2000 00:01:03,N/A,3,775,776,178
01/03/2000 00:01:25,N/A,4,777,776,178
01/03/2000 00:01:45,N/A,5,777,775,178
01/03/2000 00:02:07,N/A,6,775,776,178
01/03/2000 00:02:27,N/A,7,777,778,178
01/03/2000 00:02:49,N/A,8,778,777,178
01/03/2000 00:03:09,N/A,9,777,778,178
01/03/2000 00:03:30,N/A,10,777,776,178
01/03/2000 00:03:52,N/A,11,775,775,178
01/03/2000 00:04:13,N/A,12,778,775,177
01/03/2000 00:04:34,N/A,13,775,776,178
01/03/2000 00:04:55,N/A,14,775,778,178
01/03/2000 00:05:16,N/A,15,775,775,179
01/03/2000 00:05:38,N/A,16,774,775,179
01/03/2000 00:05:59,N/A,17,774,775,178
01/03/2000 00:06:20,N/A,18,778,778,179
01/03/2000 00:06:41,N/A,19,777,775,178
01/03/2000 00:07:01,N/A,20,777,777,178
01/03/2000 00:07:23,N/A,21,775,778,179
01/03/2000 00:07:43,N/A,22,777,778,179
01/03/2000 00:08:08,N/A,23,775,777,178
01/03/2000 00:08:29,N/A,24,778,774,179
01/03/2000 00:08:49,N/A,25,777,778,178
01/03/2000 00:09:11,N/A,26,775,775,178
01/03/2000 00:09:32,N/A,27,777,775,178
01/03/2000 00:09:53,N/A,28,778,775,178
01/03/2000 00:10:15,N/A,29,775,776,178
01/03/2000 00:10:35,N/A,30,777,778,179
01/03/2000 00:10:56,N/A,31,778,775,178
01/03/2000 00:11:17,N/A,32,777,775,178
01/03/2000 00:11:38,N/A,33,777,775,178
01/03/2000 00:11:59,N/A,34,777,775,178
01/03/2000 00:12:21,N/A,35,777,775,178
01/03/2000 00:12:41,N/A,36,775,775,179
01/03/2000 00:13:02,N/A,37,775,778,178
01/03/2000 00:13:24,N/A,38,775,775,179
01/03/2000 00:13:45,N/A,39,774,775,178
01/03/2000 00:14:05,N/A,40,775,776,177
01/03/2000 00:14:28,N/A,41,777,775,178
01/03/2000 00:14:48,N/A,42,777,775,178
01/03/2000 00:15:09,N/A,43,777,775,178
01/03/2000 00:15:31,N/A,44,777,776,178
01/03/2000 00:15:51,N/A,45,778,778,178
01/03/2000 00:16:13,N/A,46,778,775,178
01/03/2000 00:16:39,N/A,47,778,775,178
01/03/2000 00:17:00,N/A,48,777,775,178
01/03/2000 00:17:21,N/A,49,775,776,178
01/03/2000 00:17:43,N/A,50,777,775,178
01/03/2000 00:18:05,N/A,51,775,775,178
01/03/2000 00:18:27,N/A,52,777,778,178
01/03/2000 00:18:47,N/A,53,777,776,178
01/03/2000 00:19:08,N/A,54,775,775,179
01/03/2000 00:19:31,N/A,55,778,775,178
01/03/2000 00:19:51,N/A,56,773,775,178
01/03/2000 00:20:12,N/A,57,777,775,179
01/03/2000 00:20:33,N/A,58,775,775,178
01/03/2000 00:20:54,N/A,59,778,775,178
01/03/2000 00:21:15,N/A,60,777,775,179
01/03/2000 00:21:36,N/A,61,775,775,179
01/03/2000 00:21:57,N/A,62,775,775,178
01/03/2000 00:22:18,N/A,63,777,778,178
01/03/2000 00:22:39,N/A,64,777,776,178
01/03/2000 00:23:01,N/A,65,778,775,178
01/03/2000 00:23:21,N/A,66,777,777,179
01/03/2000 00:23:42,N/A,67,775,775,178
01/03/2000 00:24:03,N/A,68,778,778,179
01/03/2000 00:24:24,N/A,69,774,775,178
01/03/2000 00:24:45,N/A,70,777,778,179
01/03/2000 00:25:04,N/A,71,775,775,179
01/03/2000 00:00:21,N/A,72,775,778,179
01/03/2000 00:00:43,N/A,73,775,775,178
01/03/2000 00:01:03,N/A,74,774,778,177
01/03/2000 00:01:25,N/A,75,777,775,178
01/03/2000 00:01:46,N/A,76,777,775,178
01/03/2000 00:02:07,N/A,77,775,775,178
01/03/2000 00:02:28,N/A,78,777,777,178
01/03/2000 00:02:50,N/A,79,777,778,179
01/03/2000 00:03:11,N/A,80,777,775,178
01/03/2000 00:03:34,N/A,81,777,775,179
01/03/2000 00:03:59,N/A,82,777,775,178
01/03/2000 00:04:20,N/A,83,777,775,178
01/03/2000 00:04:41,N/A,84,777,775,178
01/03/2000 00:05:00,N/A,85,775,775,178
01/03/2000 00:05:23,N/A,86,777,775,178
01/03/2000 00:05:49,N/A,87,777,778,178
01/03/2000 00:06:13,N/A,88,777,777,179
01/03/2000 00:06:33,N/A,89,777,775,178
01/03/2000 00:06:55,N/A,90,775,775,178
01/03/2000 00:07:16,N/A,91,777,775,178
01/03/2000 00:07:37,N/A,92,775,775,178
01/03/2000 00:07:59,N/A,93,777,775,178
01/03/2000 00:08:19,N/A,94,778,775,178
01/03/2000 00:08:25,N/A,95,776,777,185
01/03/2000 00:08:25,N/A,96,776,776,180
01/03/2000 00:00:58,N/A,97,778,777,180
01/03/2000 00:01:19,N/A,98,776,776,179
01/03/2000 00:01:40,N/A,99,778,776,179
01/03/2000 00:02:02,N/A,100,776,779,180
01/03/2000 00:02:23,N/A,101,776,779,178
01/03/2000 00:02:43,N/A,102,778,774,178
01/03/2000 00:03:04,N/A,103,776,777,178
01/03/2000 00:03:26,N/A,104,776,776,178
01/03/2000 00:03:46,N/A,105,776,777,178
01/03/2000 00:04:08,N/A,106,778,776,179
01/03/2000 00:04:29,N/A,107,776,776,179
01/03/2000 00:04:49,N/A,108,778,775,178
01/03/2000 00:05:10,N/A,109,778,774,176
01/03/2000 00:05:32,N/A,110,778,776,178
01/03/2000 00:05:53,N/A,111,776,775,177
01/03/2000 00:06:13,N/A,112,776,777,178
01/03/2000 00:06:34,N/A,113,775,774,177
01/03/2000 00:06:56,N/A,114,776,777,178
01/03/2000 00:07:16,N/A,115,778,776,177
01/03/2000 00:07:37,N/A,116,776,777,177
01/03/2000 00:07:59,N/A,117,776,778,179
01/03/2000 00:08:19,N/A,118,776,777,178
01/03/2000 00:08:41,N/A,119,776,776,178
01/03/2000 00:09:01,N/A,120,778,779,177
01/03/2000 00:09:22,N/A,121,778,779,178
01/03/2000 00:09:44,N/A,122,776,777,178
01/03/2000 00:10:05,N/A,123,779,777,177
01/03/2000 00:10:25,N/A,124,776,774,178
