Fecha,Equipo(MAC),Counter,V1,V2,Bateria
04/08/2025 18:18:01,N/A,3,734,841,0
04/08/2025 18:18:21,N/A,4,736,841,0
04/08/2025 18:18:42,N/A,5,734,839,0
04/08/2025 18:19:02,N/A,6,734,839,0
04/08/2025 18:19:22,N/A,7,735,841,0
04/08/2025 18:19:43,N/A,8,734,842,0
04/08/2025 18:20:03,N/A,9,733,841,0
04/08/2025 18:20:24,N/A,10,736,843,0
04/08/2025 18:20:44,N/A,11,734,841,0
04/08/2025 18:21:05,N/A,12,735,839,0
04/08/2025 18:21:25,N/A,13,735,842,0
04/08/2025 18:22:06,N/A,15,733,841,0
04/08/2025 18:22:27,N/A,16,734,841,0
04/08/2025 18:22:49,N/A,17,733,839,0
04/08/2025 18:23:09,N/A,18,734,839,0
04/08/2025 18:23:30,N/A,19,734,839,0
04/08/2025 18:23:50,N/A,20,735,841,0
04/08/2025 18:24:10,N/A,21,737,841,0
04/08/2025 18:24:31,N/A,22,734,841,0
04/08/2025 18:24:53,N/A,23,736,839,0
04/08/2025 18:25:13,N/A,24,735,841,0
04/08/2025 18:25:34,N/A,25,736,843,0
04/08/2025 18:25:54,N/A,26,735,839,0
04/08/2025 18:26:15,N/A,27,738,839,0
04/08/2025 18:26:35,N/A,28,733,839,0
04/08/2025 18:26:55,N/A,29,736,839,0
04/08/2025 18:27:15,N/A,30,736,842,0
04/08/2025 18:27:36,N/A,31,735,842,0
04/08/2025 18:27:58,N/A,32,736,839,0
04/08/2025 18:28:18,N/A,33,734,841,0
04/08/2025 18:28:39,N/A,34,734,842,0
04/08/2025 18:29:00,N/A,35,735,841,0
04/08/2025 18:29:20,N/A,36,734,839,0
04/08/2025 18:29:40,N/A,37,734,841,0
04/08/2025 18:30:00,N/A,38,734,841,0
04/08/2025 18:30:21,N/A,39,736,839,0
04/08/2025 18:30:41,N/A,40,734,842,0
04/08/2025 18:31:02,N/A,41,735,841,0
04/08/2025 18:31:22,N/A,42,736,841,0
04/08/2025 18:31:44,N/A,43,734,842,0
04/08/2025 18:32:04,N/A,44,733,842,0
04/08/2025 18:32:25,N/A,45,736,841,0
04/08/2025 18:32:45,N/A,46,734,842,0
04/08/2025 18:33:05,N/A,47,736,839,0
04/08/2025 18:33:26,N/A,48,738,839,0
04/08/2025 18:33:48,N/A,49,738,839,0
04/08/2025 18:34:09,N/A,50,734,842,0
04/08/2025 18:34:30,N/A,51,733,839,0
04/08/2025 18:34:50,N/A,52,737,844,0
04/08/2025 18:35:11,N/A,53,736,843,0
04/08/2025 18:35:31,N/A,54,736,841,0
04/08/2025 18:35:52,N/A,55,736,841,0
04/08/2025 18:36:13,N/A,56,734,839,0
04/08/2025 18:36:34,N/A,57,734,840,0
04/08/2025 18:36:55,N/A,58,736,839,0
04/08/2025 18:37:16,N/A,59,734,842,0
04/08/2025 18:37:36,N/A,60,735,841,0
04/08/2025 18:37:57,N/A,61,735,844,0
04/08/2025 18:38:17,N/A,62,734,842,0
04/08/2025 18:38:39,N/A,63,734,840,0
04/08/2025 18:39:00,N/A,64,736,842,0
04/08/2025 18:39:20,N/A,65,733,841,0
04/08/2025 18:39:41,N/A,66,733,841,0
04/08/2025 18:40:01,N/A,67,733,839,0
04/08/2025 18:40:22,N/A,68,733,840,0
04/08/2025 18:40:43,N/A,69,736,842,0
04/08/2025 18:41:03,N/A,70,735,841,0
04/08/2025 18:41:23,N/A,71,736,839,0
04/08/2025 18:41:45,N/A,72,733,841,0
04/08/2025 18:42:06,N/A,73,735,841,0
04/08/2025 18:42:25,N/A,74,734,843,0
04/08/2025 18:42:47,N/A,75,735,842,0
04/08/2025 18:43:07,N/A,76,733,841,0
04/08/2025 18:43:27,N/A,77,736,840,0
